ZIP	latitude	longitude	STATE
03046	43.1006	-71.6042	NH
03047	42.9406	-71.8636	NH
03048	42.7499	-71.7606	NH
03051	42.7644	-71.4069	NH
03052	42.8441	-71.4552	NH
03053	42.8791	-71.387	NH
03054	42.8546	-71.5188	NH
03055	42.8186	-71.6745	NH
03057	42.9016	-71.6785	NH
03060	42.7409	-71.4589	NH
03062	42.7217	-71.4956	NH
03064	42.7791	-71.4745	NH
03070	42.9753	-71.6866	NH
03071	42.7491	-71.8747	NH
03076	42.7333	-71.3239	NH
03077	43.0313	-71.201	NH
03079	42.7903	-71.2201	NH
03082	42.9006	-71.7708	NH
03084	42.8327	-71.8626	NH
03086	42.8285	-71.7808	NH
03087	42.8076	-71.2992	NH
03101	42.988	-71.4654	NH
03102	43.0078	-71.4904	NH
03104	43.0096	-71.4414	NH
03106	43.0708	-71.437	NH
03109	42.9664	-71.4014	NH
03216	43.4462	-71.7937	NH
03217	43.7152	-71.5984	NH
03218	43.3163	-71.2664	NH
03220	43.4657	-71.4742	NH
03221	43.2363	-71.9644	NH
03222	43.6267	-71.7769	NH
03223	43.9497	-71.5639	NH
03224	43.3521	-71.5488	NH
03225	43.3599	-71.2389	NH
03226	43.7187	-71.4957	NH
03227	43.8291	-71.4646	NH
03230	43.5144	-71.8693	NH
03232	43.6914	-71.7557	NH
03234	43.2138	-71.339	NH
03235	43.4484	-71.6714	NH
03237	43.4238	-71.3864	NH
03240	43.5788	-71.9582	NH
03241	43.7216	-71.829	NH
03242	43.173	-71.8223	NH
03243	43.5306	-71.7599	NH
03244	43.1191	-71.923	NH
03246	43.567	-71.4756	NH
03249	43.5418	-71.3848	NH
03251	44.0921	-71.5816	NH
03253	43.6282	-71.5145	NH
03254	43.7456	-71.3623	NH
03255	43.3203	-72.0084	NH
03256	43.6323	-71.6228	NH
03257	43.4174	-71.9901	NH
03258	43.2551	-71.3982	NH
03259	43.873	-71.3916	NH
03261	43.2128	-71.2115	NH
03262	44.0224	-71.7442	NH
03263	43.298	-71.3116	NH
03264	43.7436	-71.6675	NH
03266	43.8184	-71.8752	NH
03268	43.3879	-71.7338	NH
03269	43.5321	-71.6017	NH
03275	43.1594	-71.4185	NH
03276	43.4275	-71.5743	NH
03278	43.3144	-71.8518	NH
03279	43.948	-71.8844	NH
03280	43.1843	-72.0914	NH
03281	43.0824	-71.7225	NH
03282	43.8616	-71.9535	NH
03284	43.4934	-72.0322	NH
03287	43.4423	-71.9208	NH
03290	43.1228	-71.1209	NH
03291	43.1396	-71.1247	NH
03301	43.2248	-71.5437	NH
03303	43.2993	-71.6742	NH
03304	43.1311	-71.5305	NH
03307	43.3233	-71.4429	NH
03431	42.974	-72.2925	NH
03435	42.9275	-72.279	NH
03441	42.8101	-72.4394	NH
03442	43.0146	-71.9109	NH
03443	42.8767	-72.4433	NH
03444	42.8944	-72.0713	NH
03445	43.0142	-72.2081	NH
03446	42.86	-72.2983	NH
03447	42.7575	-72.1469	NH
03448	43.0464	-72.2614	NH
03449	42.977	-71.9969	NH
03450	42.9409	-72.0875	NH
03451	42.8083	-72.5	NH
03452	42.8303	-72.0588	NH
03455	42.9071	-72.1718	NH
03456	43.1326	-72.213	NH
03457	43.0015	-72.1235	NH
03458	42.872	-71.9387	NH
03461	42.7524	-72.0122	NH
03462	42.9058	-72.4024	NH
03464	43.0787	-72.1138	NH
03465	42.8246	-72.1877	NH
03466	42.8928	-72.5117	NH
03467	42.9696	-72.4313	NH
03470	42.7706	-72.3256	NH
03561	44.3339	-71.7956	NH
03570	44.4509	-71.2741	NH
03574	44.2528	-71.5966	NH
03576	44.8884	-71.3954	NH
03579	44.7771	-71.1747	NH
03580	44.1778	-71.6791	NH
